City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Buin,CL,-33.7333,-70.75,75.74,60,0,2.04,clear sky
81,Husavik,IS,66.0449,-17.3389,24.71,85,100,14.5,overcast clouds
82,Maniitsoq,GL,65.4167,-52.9,4.1,91,100,13.62,light snow
83,Chuy,UY,-33.6971,-53.4616,62.26,82,39,13.44,scattered clouds
84,Kaitangata,NZ,-46.2817,169.8464,58.93,79,52,8.32,broken clouds
85,Clyde River,CA,70.4692,-68.5914,-30.77,68,20,10.36,few clouds
86,Gizo,SB,-8.103,156.8419,85.51,72,100,13.58,light rain
87,Hambantota,LK,6.1241,81.1185,79.14,83,40,5.75,scattered clouds
88,Kontagora,NG,10.3999,5.4695,69.84,20,0,6.87,clear sky
89,Gisborne,NZ,-38.6533,178.0042,67.95,98,100,9.37,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,79.25,82,100,11.21,overcast clouds
91,Antofagasta,CL,-23.65,-70.4,65.48,74,23,1.16,few clouds
92,Leningradskiy,RU,69.3833,178.4167,-27.76,100,62,2.86,broken clouds
93,Cabo San Lucas,MX,22.8909,-109.9124,67.51,73,20,0.0,few clouds
94,Guerrero Negro,MX,27.9769,-114.0611,59.95,61,0,6.35,clear sky
95,Kaitong,CN,44.8135,123.15,17.51,76,3,7.2,clear sky
96,Nikolskoye,RU,59.7035,30.7861,35.87,97,100,7.11,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,78.87,36,5,20.71,clear sky
98,Torbay,CA,47.6666,-52.7314,13.57,77,75,18.41,broken clouds
99,Barrow,US,71.2906,-156.7887,-27.38,68,0,14.97,clear sky
100,Caravelas,BR,-17.7125,-39.2481,75.47,89,50,5.55,scattered clouds
101,Lorengau,PG,-2.0226,147.2712,84.29,73,99,7.43,overcast clouds
102,Fortuna,US,40.5982,-124.1573,46.42,91,0,3.42,clear sky
103,Linjiang,CN,41.8069,126.9078,21.81,62,75,3.87,broken clouds
104,Thompson,CA,55.7435,-97.8558,-5.64,71,100,4.61,overcast clouds
105,Nantucket,US,41.2835,-70.0995,33.91,69,0,11.5,clear sky
106,Polis,CY,35.0367,32.4264,46.22,95,0,2.71,clear sky
107,Mahibadhoo,MV,3.7833,72.9667,81.09,68,50,9.93,scattered clouds
108,Gorontalo,ID,0.5412,123.0595,91.15,49,95,3.15,overcast clouds
109,Khatanga,RU,71.9667,102.5,-17.07,98,99,9.6,overcast clouds
110,Bousse,BF,12.6606,-1.8922,71.17,15,0,9.71,clear sky
111,Grand Gaube,MU,-20.0064,57.6608,79.38,80,91,7.0,overcast clouds
112,Salvador,SV,13.8333,-88.9167,73.06,62,65,3.02,broken clouds
113,Mandera,KE,3.9366,41.867,74.97,42,88,6.04,overcast clouds
114,Ostrovnoy,RU,68.0531,39.5131,11.34,88,16,17.83,few clouds
115,Sao Filipe,CV,14.8961,-24.4956,71.98,76,8,6.04,clear sky
116,Mar Del Plata,AR,-38.0023,-57.5575,63.88,79,40,23.0,scattered clouds
117,Winslow,US,35.0242,-110.6974,38.3,21,0,4.61,clear sky
118,Hof,DE,50.3167,11.9167,34.63,85,75,16.11,broken clouds
119,Hamilton,US,39.1834,-84.5333,30.42,86,0,1.01,clear sky
120,Dnestrovsc,MD,46.6222,29.9133,35.96,56,84,12.3,broken clouds
121,Broome,US,42.2506,-75.833,23.9,69,0,1.01,clear sky
122,Tasiilaq,GL,65.6145,-37.6368,21.36,56,100,60.87,light snow
123,Concarneau,FR,47.875,-3.9225,50.83,91,59,9.1,broken clouds
124,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,18.41,light snow
125,Birin,NP,26.8865,88.0718,45.97,76,67,3.4,broken clouds
126,Pak Phanang,TH,8.3511,100.202,89.62,68,88,7.61,overcast clouds
127,Mana,GF,5.6592,-53.7767,77.36,87,100,7.34,overcast clouds
128,Ribeira Grande,PT,38.5167,-28.7,61.0,83,10,16.71,clear sky
129,Faya,SA,18.3851,42.4509,50.52,85,8,3.09,clear sky
130,Ares,BR,-6.1944,-35.1603,80.69,78,1,5.84,clear sky
131,Coihueco,CL,-36.6167,-71.8333,65.14,39,0,0.0,clear sky
132,Tilichiki,RU,60.4667,166.1,-5.75,79,1,8.68,clear sky
133,Tsaratanana,MG,-16.7833,47.65,72.75,92,66,2.64,broken clouds
134,Pisco,PE,-13.7,-76.2167,66.02,94,40,4.61,scattered clouds
135,Matara,LK,5.9485,80.5353,84.04,62,95,3.53,overcast clouds
136,Dikson,RU,73.5069,80.5464,-13.05,97,100,16.33,overcast clouds
137,Amarkantak,IN,22.6667,81.75,67.96,17,0,0.72,clear sky
138,Bambous Virieux,MU,-20.3428,57.7575,79.21,81,100,10.87,light rain
139,Kondinskoye,RU,59.6481,67.41,8.62,92,100,10.33,overcast clouds
140,Nanortalik,GL,60.1432,-45.2371,16.72,60,100,48.92,overcast clouds
141,Bredasdorp,ZA,-34.5322,20.0403,66.27,91,13,5.59,few clouds
142,Arona,ES,28.0996,-16.681,59.31,70,0,1.99,clear sky
143,San Cristobal,VE,7.7669,-72.225,69.98,87,55,1.52,broken clouds
144,Namibe,AO,-15.1961,12.1522,72.28,70,95,7.43,overcast clouds
145,Portales,US,34.1862,-103.3344,31.1,77,79,7.36,broken clouds
146,Chavakkad,IN,10.5333,76.05,79.97,61,48,8.05,scattered clouds
147,Butaritari,KI,3.0707,172.7902,81.66,76,63,15.66,moderate rain
148,Talnakh,RU,69.4865,88.3972,-27.45,97,56,1.52,broken clouds
149,Luanda,AO,-8.8368,13.2343,72.93,88,100,5.37,overcast clouds
150,Dubbo,AU,-32.25,148.6167,78.93,38,40,16.11,scattered clouds
151,Kutum,SD,14.2,24.6667,45.7,34,18,8.61,few clouds
152,Viedma,AR,-40.8135,-62.9967,60.89,77,0,8.57,clear sky
153,Barguzin,RU,53.6167,109.6167,13.15,91,73,0.18,broken clouds
154,Zhigansk,RU,66.7697,123.3711,-27.83,97,93,3.11,overcast clouds
155,Manbij,SY,36.5281,37.9549,34.57,66,1,6.78,clear sky
156,Tessalit,ML,20.1986,1.0114,59.02,17,0,6.2,clear sky
157,Seymchan,RU,62.8833,152.4333,-25.22,92,27,1.01,scattered clouds
158,Gambela,ET,8.25,34.5833,72.7,33,100,1.3,overcast clouds
159,Haines Junction,CA,60.7522,-137.5108,40.95,38,43,10.36,scattered clouds
160,Turan,VN,16.0678,108.2208,78.78,69,40,4.61,scattered clouds
161,Mount Isa,AU,-20.7333,139.5,91.17,33,32,13.8,scattered clouds
162,Nuuk,GL,64.1835,-51.7216,7.41,85,100,9.22,light snow
163,Bilma,NE,18.6853,12.9164,55.87,18,0,7.87,clear sky
164,Hasaki,JP,35.7333,140.8333,50.29,31,7,4.41,clear sky
165,Thinadhoo,MV,0.5333,72.9333,82.74,62,98,13.06,overcast clouds
166,Komsomolskiy,UZ,40.4272,71.7189,38.62,81,75,6.91,broken clouds
167,Biloli,IN,18.7667,77.7333,68.14,48,84,6.82,broken clouds
168,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,75,12.66,broken clouds
169,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,4.61,overcast clouds
170,Port Alfred,ZA,-33.5906,26.891,73.33,77,69,3.91,broken clouds
171,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.17,98,79,1.23,broken clouds
172,Saldanha,ZA,-33.0117,17.9442,62.65,98,37,8.59,scattered clouds
173,Vaitape,PF,-16.5167,-151.75,81.05,75,91,20.47,overcast clouds
174,Port Lincoln,AU,-34.7333,135.8667,79.45,48,0,18.54,clear sky
175,Blanquefort,FR,44.9125,-0.6366,52.3,94,100,11.5,overcast clouds
176,East London,ZA,-33.0153,27.9116,70.74,94,0,4.61,clear sky
177,Anadyr,RU,64.75,177.4833,-14.3,76,0,8.95,clear sky
178,Saint-Joseph,RE,-21.3667,55.6167,77.36,77,88,11.48,overcast clouds
179,Codrington,AU,-38.2667,141.9667,80.31,36,0,17.52,clear sky
180,Wyndham,US,37.6985,-77.6125,35.38,61,100,1.01,overcast clouds
181,Tulun,RU,54.5611,100.5792,16.23,92,100,1.59,overcast clouds
182,Vao,NC,-22.6667,167.4833,81.16,82,45,13.24,scattered clouds
183,Puerto Carreno,CO,6.189,-67.4859,81.95,58,69,1.95,broken clouds
184,Shubarkuduk,KZ,49.1447,56.4872,12.02,97,100,6.13,overcast clouds
185,Kavieng,PG,-2.5744,150.7967,83.73,71,65,2.95,broken clouds
186,Suez,EG,29.9737,32.5263,52.56,70,0,3.49,clear sky
187,Cruzeiro,BR,-22.5761,-44.9628,73.58,99,100,1.28,overcast clouds
188,Narsaq,GL,60.9167,-46.05,10.62,82,100,5.57,light snow
189,Geraldton,AU,-28.7667,114.6,77.41,38,40,17.27,scattered clouds
190,Brae,GB,60.3964,-1.353,39.11,58,96,27.51,overcast clouds
191,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,0.0,clear sky
192,Kristinehamn,SE,59.3098,14.1081,31.03,82,38,5.3,scattered clouds
193,Nueve De Julio,AR,-35.4444,-60.8831,61.72,96,1,6.91,clear sky
194,Nicoya,CR,10.1483,-85.452,78.35,73,8,5.5,clear sky
195,Saint-Philippe,RE,-21.3585,55.7679,78.35,83,94,15.12,overcast clouds
196,Tauranga,NZ,-37.6861,176.1667,70.14,97,100,7.99,overcast clouds
197,Berlevag,NO,70.8578,29.0864,19.9,85,60,20.71,broken clouds
198,Hovd,MN,48.0056,91.6419,-6.72,68,9,2.3,clear sky
199,Port Hardy,CA,50.6996,-127.4199,47.75,81,100,18.41,light intensity shower rain
200,Xingyi,CN,24.1877,102.817,56.28,45,7,9.84,clear sky
201,Sibolga,ID,1.7427,98.7792,85.75,59,78,3.58,broken clouds
202,Alawalpur,IN,31.4328,75.6508,57.2,72,15,1.74,few clouds
203,Romilly-Sur-Seine,FR,48.5108,3.7263,43.09,78,18,13.47,few clouds
204,Meulaboh,ID,4.1363,96.1285,79.63,81,98,3.76,overcast clouds
205,Deputatskiy,RU,69.3,139.9,-31.58,94,83,4.63,broken clouds
206,Nemuro,JP,43.3236,145.575,28.83,69,45,11.59,scattered clouds
207,Panama City,PA,8.9936,-79.5197,80.06,77,0,4.61,clear sky
208,Binga,ZW,-17.6203,27.3414,67.24,82,77,1.79,broken clouds
209,Yulara,AU,-25.2406,130.9889,91.24,17,0,13.8,clear sky
210,Viransehir,TR,37.2353,39.7631,35.1,62,0,6.2,clear sky
211,Upernavik,GL,72.7868,-56.1549,-13.76,100,100,8.72,overcast clouds
212,San Jeronimo,PE,-11.9472,-75.2829,49.37,85,100,0.27,overcast clouds
213,Kyabe,TD,9.4515,18.9449,69.03,17,0,6.35,clear sky
214,Manaus,BR,-3.1019,-60.025,77.5,100,40,2.3,scattered clouds
215,Bereda,ES,43.2686,-7.5406,40.57,98,60,1.74,broken clouds
216,Alofi,NU,-19.0595,-169.9187,82.29,18,100,4.61,light intensity drizzle
217,Chontalpa,MX,17.7,-93.5167,61.77,94,89,0.76,overcast clouds
218,Chara,RU,56.9064,118.2631,1.6,80,76,1.23,broken clouds
219,Hailey,US,43.5196,-114.3153,22.86,74,0,0.0,clear sky
220,Iqaluit,CA,63.7506,-68.5145,-40.27,67,0,2.3,clear sky
221,Pitimbu,BR,-7.4706,-34.8086,79.39,73,6,7.96,clear sky
222,Noumea,NC,-22.2763,166.4572,78.78,84,78,17.02,broken clouds
223,Avera,US,33.194,-82.5271,41.68,57,99,6.38,overcast clouds
224,Victoria,HK,22.2855,114.1577,65.97,90,100,1.01,overcast clouds
225,Georgetown,MY,5.4112,100.3354,84.88,79,20,5.01,few clouds
226,Ternate,ID,0.8,127.4,82.71,72,100,6.96,overcast clouds
227,Kholtoson,RU,50.2981,103.3097,14.36,67,33,3.31,scattered clouds
228,Espanola,US,35.9911,-106.0806,31.6,82,43,2.53,scattered clouds
229,Cayenne,GF,4.9333,-52.3333,80.1,87,75,3.0,broken clouds
230,Atbasar,KZ,51.8,68.3333,15.01,95,95,8.16,overcast clouds
231,San Quintin,MX,30.4833,-115.95,57.9,48,0,3.78,clear sky
232,Dwarka,IN,22.2394,68.9678,69.73,58,4,4.27,clear sky
233,Mancio Lima,BR,-7.6142,-72.8958,73.38,97,100,1.99,overcast clouds
234,Narrabri,AU,-30.3167,149.7833,80.69,32,0,16.11,clear sky
235,Kaeo,NZ,-35.1,173.7833,77.32,96,100,6.64,overcast clouds
236,Alto Paraguai,BR,-14.5136,-56.4825,73.85,97,100,3.69,overcast clouds
237,Itarema,BR,-2.9248,-39.9167,77.88,81,2,9.53,clear sky
238,Aitape,PG,-3.1374,142.3475,83.66,72,100,6.6,overcast clouds
239,Kenscoff,HT,18.4506,-72.2869,57.34,88,37,4.61,scattered clouds
240,Tukrah,LY,32.5341,20.5791,55.35,72,86,9.64,overcast clouds
241,Fenoarivo,MG,-18.933,47.4354,66.27,88,75,8.05,broken clouds
242,Utinga,BR,-5.8172,-35.3954,81.0,83,40,4.61,scattered clouds
243,Kanashevo,RU,55.2169,62.0634,-6.45,100,99,4.59,overcast clouds
244,Nsukka,NG,6.8561,7.3927,66.36,45,0,0.81,clear sky
245,Te Anau,NZ,-45.4167,167.7167,70.7,39,26,1.39,scattered clouds
246,Saint-Augustin,CA,51.226,-58.6502,-25.44,92,20,4.59,few clouds
247,Porto Nacional,BR,-10.7081,-48.4172,75.2,92,100,0.63,overcast clouds
248,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,78,100,11.5,overcast clouds
249,Coihaique,CL,-45.5752,-72.0662,66.81,72,0,4.61,clear sky
250,Silver City,US,32.7701,-108.2803,39.16,44,75,1.99,broken clouds
251,Tautira,PF,-17.7333,-149.15,86.02,76,70,19.6,light rain
252,Srednekolymsk,RU,67.45,153.6833,-27.6,97,28,1.19,scattered clouds
253,Eravur,LK,7.7733,81.6095,79.75,74,52,7.16,broken clouds
254,Salalah,OM,17.0151,54.0924,73.49,25,0,17.27,clear sky
255,Barcelos,PT,41.5388,-8.6151,48.69,66,62,5.37,broken clouds
256,Nabire,ID,-3.3667,135.4833,83.01,72,100,2.53,overcast clouds
257,Tezu,IN,27.9167,96.1667,64.94,43,1,2.77,clear sky
258,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.56,71,63,5.3,broken clouds
259,Kolyshley,RU,52.7005,44.5367,17.11,97,100,4.21,overcast clouds
260,San Patricio,US,28.017,-97.5169,57.18,83,100,9.93,overcast clouds
261,Mangaluru,IN,12.8667,74.8833,77.86,73,20,3.44,few clouds
262,Mayo,US,38.8876,-76.5119,34.25,66,100,1.01,overcast clouds
263,Coahuayana,MX,18.7333,-103.6833,69.33,74,58,3.42,broken clouds
264,Dao,PH,11.3937,122.6856,84.47,62,58,11.34,broken clouds
265,Bhadrak,IN,21.0633,86.5054,70.77,54,84,3.11,broken clouds
266,Mount Gambier,AU,-37.8333,140.7667,89.51,14,0,17.27,clear sky
267,Kalaleh,IR,37.3807,55.4916,33.4,86,0,0.0,clear sky
268,Dharan,NP,26.8125,87.2835,59.31,65,82,3.6,broken clouds
269,Chicama,PE,-7.8447,-79.1469,66.74,74,99,5.06,overcast clouds
270,Lac Du Bonnet,CA,50.2536,-96.0612,-7.24,99,97,4.76,overcast clouds
271,Mogadishu,SO,2.0371,45.3438,76.87,83,40,13.8,scattered clouds
272,Fukue,JP,32.6881,128.8419,46.76,53,75,5.75,broken clouds
273,Tigil,RU,57.8,158.6667,20.28,78,63,8.93,broken clouds
